Long-Term Surface Parking,10:00,AM,06/04/2018,10:00,PM,06/04/2018,$ 10.00
Long-Term Surface Parking,10:00,AM,06/03/2018,10:00,AM,06/07/2018,$ 40.00
Long-Term Surface Parking,10:00,AM,06/04/2018,10:00,AM,06/04/2018,$ 0.00
Long-Term Surface Parking,10:00,AM,06/04/2018,10:00,PM,06-04/2018,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Long-Term Surface Parking,10:00,AM,06-04/2018,10:00,PM,06-04/2018,$ 10.00
Long-Term Surface Parking,10:00,AM,06-04-2018,10:00,PM,06-04-2018,$ 10.00
Long-Term Surface Parking,100:00,AM,06/04/2018,200:00,AM,06/04/2018,Error! Wrong Time format is used
Long-Term Surface Parking,12:00,AM,06/04/2018,10:00,PM,06/03/2018,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Long-Term Surface Parking,12:00,AM,06/04/2018,12:00,AM,06/02/2017,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Long-Term Surface Parking,10:00,AM,06/03/2018,,,,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Long-Term Surface Parking,,,,10:00,AM,05/03/2018,ERROR! Invalid Date
Long-Term Surface Parking,12:00,AM,2/27/2018,10:00,PM,2/29/2018,Error! Invalid Date
Long-Term Surface Parking,10:00,AM,16/57/2018,10:00,AM,17/58/2018,Error! Invalid Date
Long-Term Surface Parking,-10:00,AM,06/04/2018,-10:00,AM,06/05/2018,Error! Invalid Time

Long-Term Garage Parking,10:00,AM,06/04/2018,10:00,PM,06/04/2018,$ 12.00
Long-Term Garage Parking,10:00,AM,06/03/2018,10:00,AM,06/07/2018,$ 48.00
Long-Term Garage Parking,10:00,AM,06/04/2018,10:00,AM,06/04/2018,$ 0.00
Long-Term Garage Parking,10:00,AM,06/04/2018,10:00,PM,06-04/2018,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Long-Term Garage Parking,10:00,AM,06-04/2018,10:00,PM,06-04/2018,$ 12.00
Long-Term Garage Parking,10:00,AM,06-04-2018,10:00,PM,06-04-2018,$ 12.00
Long-Term Garage Parking,100:00,AM,06/04/2018,200:00,AM,06/04/2018,Error! Wrong Time format is used
Long-Term Garage Parking,12:00,AM,06/04/2018,10:00,PM,06/03/2018,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Long-Term Garage Parking,12:00,AM,06/04/2018,12:00,AM,06/02/2017,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Long-Term Garage Parking,10:00,AM,06/03/2018,,,,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Long-Term Garage Parking,,,,10:00,AM,05/03/2018,ERROR! Invalid Date
Long-Term Garage Parking,12:00,AM,2/27/2018,10:00,PM,2/29/2018,Error! Invalid Date
Long-Term Garage Parking,10:00,AM,16/57/2018,10:00,AM,17/58/2018,Error! Invalid Date
Long-Term Garage Parking,-10:00,AM,06/04/2018,-10:00,AM,06/05/2018,Error! Invalid Time

Economy Parking,10:00,AM,06/04/2018,10:00,PM,06/04/2018,$ 9.00
Economy Parking,10:00,AM,06/03/2018,10:00,AM,06/07/2018,$ 36.00
Economy Parking,10:00,AM,06/04/2018,10:00,AM,06/04/2018,$ 0.00
Economy Parking,10:00,AM,06/04/2018,10:00,PM,06-04/2018,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Economy Parking,10:00,AM,06-04/2018,10:00,PM,06-04/2018,$ 9.00
Economy Parking,10:00,AM,06-04-2018,10:00,PM,06-04-2018,$ 9.00
Economy Parking,100:00,AM,06/04/2018,200:00,AM,06/04/2018,Error! Wrong Time format is used
Economy Parking,12:00,AM,06/04/2018,10:00,PM,06/03/2018,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Economy Parking,12:00,AM,06/04/2018,12:00,AM,06/02/2018,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Economy Parking,10:00,AM,05/03/2018,,,,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Economy Parking,,,,10:00,AM,05/03/2018,ERROR! Invalid Date
Economy Parking,12:00,AM,2/27/2018,10:00,PM,2/29/2018,Error! Invalid Date
Economy Parking,10:00,AM,16/57/2018,10:00,AM,17/58/2018,Error! Invalid Date
Economy Parking,-10:00,AM,06/04/2018,-10:00,AM,06/05/2018,Error! Invalid Time