Short-Term Parking,10:00,AM,06/04/2018,10:00,PM,06/04/2018,$ 24.00
Short-Term Parking,10:00,AM,06/03/2018,10:00,AM,06/07/2018,$ 106.00
Short-Term Parking,10:00,AM,06/04/2018,10:00,AM,06/04/2018,$ 2.00
Short-Term Parking,10:00,AM,06/04/2018,10:00,PM,06-04/2018,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Short-Term Parking,10:00,AM,06-04/2018,10:00,PM,06-04/2018,$ 24.00
Short-Term Parking,10:00,AM,06-04-2018,10:00,PM,06-04-2018,$ 24.00
Short-Term Parking,100:00,AM,06/04/2018,200:00,AM,06/04/2018,Error! Wrong Time format is used
Short-Term Parking,12:00,AM,06/04/2018,10:00,PM,06/03/2018,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Short-Term Parking,12:00,AM,06/04/2018,12:00,AM,06/02/2018,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Short-Term Parking,10:00,AM,05/03/2018,,,,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Short-Term Parking,,,,10:00,AM,05/03/2018,ERROR! Invalid Date
Short-Term Parking,12:00,AM,2/27/2018,10:00,PM,2/29/2018,Error! Invalid Date
Short-Term Parking,10:00,AM,16/57/2018,10:00,AM,17/58/2018,Error! Invalid Date
Short-Term Parking,-10:00,AM,06/04/2018,-10:00,AM,06/05/2018,Error! Invalid Time

Valet Parking,10:00,AM,06/04/2018,10:00,PM,06/04/2018,$ 30.00
Valet Parking,10:00,AM,06/03/2018,10:00,AM,06/07/2018,$ 132.00
Valet Parking,10:00,AM,06/04/2018,10:00,AM,06/04/2018,$ 12.00
Valet Parking,10:00,AM,06/04/2018,10:00,PM,06-04/2018,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Valet Parking,10:00,AM,06-04/2018,10:00,PM,06-04/2018,$ 30.00
Valet Parking,10:00,AM,06-04-2018,10:00,PM,06-04-2018,$ 30.00
Valet Parking,100:00,AM,06/04/2018,200:00,AM,06/04/2018,Error! Wrong Time format is used
Valet Parking,12:00,AM,06/04/2018,10:00,PM,06/03/2018,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Valet Parking,12:00,AM,06/04/2018,12:00,AM,06/02/2018,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Valet Parking,10:00,AM,05/03/2018,,,,ERROR! YOUR EXIT DATE OR TIME IS BEFORE YOUR ENTRY DATE OR TIME
Valet Parking,,,,10:00,AM,05/03/2018,ERROR! Invalid Date
Valet Parking,12:00,AM,2/27/2018,10:00,PM,2/29/2018,Error! Invalid Date
Valet Parking,10:00,AM,16/57/2018,10:00,AM,17/58/2018,Error! Invalid Date
Valet Parking,-10:00,AM,06/04/2018,-10:00,AM,06/05/2018,Error! Invalid Time